,Exporting Country,Year,Exports in Millions,Importing Country
0,Belgium,1988,,bahrain
1,China,1988,,bahrain
2,France,1988,8.0,bahrain
3,Germany (FRG),1988,76.0,bahrain
4,Malta,1988,,bahrain
5,Netherlands,1988,,bahrain
6,Oman,1988,,bahrain
7,Sweden,1988,7.0,bahrain
8,Turkey,1988,,bahrain
9,UAE,1988,,bahrain
10,United Kingdom,1988,1.0,bahrain
11,United States,1988,46.0,bahrain
12,Belgium,1989,,bahrain
13,China,1989,,bahrain
14,France,1989,7.0,bahrain
15,Germany (FRG),1989,44.0,bahrain
16,Malta,1989,,bahrain
17,Netherlands,1989,,bahrain
18,Oman,1989,,bahrain
19,Sweden,1989,7.0,bahrain
20,Turkey,1989,,bahrain
21,UAE,1989,,bahrain
22,United Kingdom,1989,,bahrain
23,United States,1989,14.0,bahrain
24,Belgium,1990,,bahrain
25,China,1990,,bahrain
26,France,1990,,bahrain
27,Germany (FRG),1990,,bahrain
28,Malta,1990,,bahrain
29,Netherlands,1990,,bahrain
30,Oman,1990,,bahrain
31,Sweden,1990,,bahrain
32,Turkey,1990,,bahrain
33,UAE,1990,,bahrain
34,United Kingdom,1990,,bahrain
35,United States,1990,362.0,bahrain
36,Belgium,1991,,bahrain
37,China,1991,,bahrain
38,France,1991,,bahrain
39,Germany (FRG),1991,,bahrain
40,Malta,1991,,bahrain
41,Netherlands,1991,,bahrain
42,Oman,1991,,bahrain
43,Sweden,1991,,bahrain
44,Turkey,1991,,bahrain
45,UAE,1991,,bahrain
46,United Kingdom,1991,,bahrain
47,United States,1991,68.0,bahrain
48,Belgium,1992,,bahrain
49,China,1992,,bahrain
50,France,1992,,bahrain
51,Germany (FRG),1992,,bahrain
52,Malta,1992,,bahrain
53,Netherlands,1992,,bahrain
54,Oman,1992,,bahrain
55,Sweden,1992,,bahrain
56,Turkey,1992,,bahrain
57,UAE,1992,,bahrain
58,United Kingdom,1992,,bahrain
59,United States,1992,42.0,bahrain
60,Belgium,1993,,bahrain
61,China,1993,,bahrain
62,France,1993,,bahrain
63,Germany (FRG),1993,,bahrain
64,Malta,1993,,bahrain
65,Netherlands,1993,,bahrain
66,Oman,1993,,bahrain
67,Sweden,1993,,bahrain
68,Turkey,1993,,bahrain
69,UAE,1993,,bahrain
70,United Kingdom,1993,,bahrain
71,United States,1993,1.0,bahrain
72,Belgium,1994,,bahrain
73,China,1994,,bahrain
74,France,1994,,bahrain
75,Germany (FRG),1994,2.0,bahrain
76,Malta,1994,,bahrain
77,Netherlands,1994,6.0,bahrain
78,Oman,1994,,bahrain
79,Sweden,1994,,bahrain
80,Turkey,1994,,bahrain
81,UAE,1994,,bahrain
82,United Kingdom,1994,,bahrain
83,United States,1994,,bahrain
84,Belgium,1995,,bahrain
85,China,1995,,bahrain
86,France,1995,18.0,bahrain
87,Germany (FRG),1995,,bahrain
88,Malta,1995,,bahrain
89,Netherlands,1995,,bahrain
90,Oman,1995,,bahrain
91,Sweden,1995,,bahrain
92,Turkey,1995,,bahrain
93,UAE,1995,,bahrain
94,United Kingdom,1995,,bahrain
95,United States,1995,53.0,bahrain
96,Belgium,1996,,bahrain
97,China,1996,,bahrain
98,France,1996,,bahrain
99,Germany (FRG),1996,,bahrain
100,Malta,1996,,bahrain
101,Netherlands,1996,9.0,bahrain
102,Oman,1996,,bahrain
103,Sweden,1996,,bahrain
104,Turkey,1996,,bahrain
105,UAE,1996,,bahrain
106,United Kingdom,1996,,bahrain
107,United States,1996,45.0,bahrain
108,Belgium,1997,,bahrain
109,China,1997,,bahrain
