Exporting Country,Year,Exports in Millions,Importing Country
Belgium,1988,,Bahrain
China,1988,,Bahrain
France,1988,8,Bahrain
Germany (FRG),1988,76,Bahrain
Malta,1988,,Bahrain
Netherlands,1988,,Bahrain
Oman,1988,,Bahrain
Sweden,1988,7,Bahrain
Turkey,1988,,Bahrain
UAE,1988,,Bahrain
United Kingdom,1988,1,Bahrain
United States,1988,46,Bahrain
Belgium,1989,,Bahrain
China,1989,,Bahrain
France,1989,7,Bahrain
Germany (FRG),1989,44,Bahrain
Malta,1989,,Bahrain
Netherlands,1989,,Bahrain
Oman,1989,,Bahrain
Sweden,1989,7,Bahrain
Turkey,1989,,Bahrain
UAE,1989,,Bahrain
United Kingdom,1989,,Bahrain
United States,1989,14,Bahrain
Belgium,1990,,Bahrain
China,1990,,Bahrain
France,1990,,Bahrain
Germany (FRG),1990,,Bahrain
Malta,1990,,Bahrain
Netherlands,1990,,Bahrain
Oman,1990,,Bahrain
Sweden,1990,,Bahrain
Turkey,1990,,Bahrain
UAE,1990,,Bahrain
United Kingdom,1990,,Bahrain
United States,1990,362,Bahrain
Belgium,1991,,Bahrain
China,1991,,Bahrain
France,1991,,Bahrain
Germany (FRG),1991,,Bahrain
Malta,1991,,Bahrain
Netherlands,1991,,Bahrain
Oman,1991,,Bahrain
Sweden,1991,,Bahrain
Turkey,1991,,Bahrain
UAE,1991,,Bahrain
United Kingdom,1991,,Bahrain
United States,1991,68,Bahrain
Belgium,1992,,Bahrain
China,1992,,Bahrain
France,1992,,Bahrain
Germany (FRG),1992,,Bahrain
Malta,1992,,Bahrain
Netherlands,1992,,Bahrain
Oman,1992,,Bahrain
Sweden,1992,,Bahrain
Turkey,1992,,Bahrain
UAE,1992,,Bahrain
United Kingdom,1992,,Bahrain
United States,1992,42,Bahrain
Belgium,1993,,Bahrain
China,1993,,Bahrain
France,1993,,Bahrain
Germany (FRG),1993,,Bahrain
Malta,1993,,Bahrain
Netherlands,1993,,Bahrain
Oman,1993,,Bahrain
Sweden,1993,,Bahrain
Turkey,1993,,Bahrain
UAE,1993,,Bahrain
United Kingdom,1993,,Bahrain
United States,1993,1,Bahrain
Belgium,1994,,Bahrain
China,1994,,Bahrain
France,1994,,Bahrain
Germany (FRG),1994,2,Bahrain
Malta,1994,,Bahrain
Netherlands,1994,6,Bahrain
Oman,1994,,Bahrain
Sweden,1994,,Bahrain
Turkey,1994,,Bahrain
UAE,1994,,Bahrain
United Kingdom,1994,,Bahrain
United States,1994,,Bahrain
Belgium,1995,,Bahrain
China,1995,,Bahrain
France,1995,18,Bahrain
Germany (FRG),1995,,Bahrain
Malta,1995,,Bahrain
Netherlands,1995,,Bahrain
Oman,1995,,Bahrain
Sweden,1995,,Bahrain
Turkey,1995,,Bahrain
UAE,1995,,Bahrain
United Kingdom,1995,,Bahrain
United States,1995,53,Bahrain
Belgium,1996,,Bahrain
China,1996,,Bahrain
France,1996,,Bahrain
Germany (FRG),1996,,Bahrain
Malta,1996,,Bahrain
Netherlands,1996,9,Bahrain
Oman,1996,,Bahrain
Sweden,1996,,Bahrain
Turkey,1996,,Bahrain
UAE,1996,,Bahrain
United Kingdom,1996,,Bahrain
United States,1996,45,Bahrain
Belgium,1997,,Bahrain
China,1997,,Bahrain
France,1997,,Bahrain
Germany (FRG),1997,,Bahrain
Malta,1997,,Bahrain
Netherlands,1997,0,Bahrain
Oman,1997,,Bahrain
Sweden,1997,,Bahrain
Turkey,1997,,Bahrain
UAE,1997,,Bahrain
United Kingdom,1997,,Bahrain
United States,1997,198,Bahrain
Belgium,1998,,Bahrain
China,1998,,Bahrain
France,1998,,Bahrain
Germany (FRG),1998,,Bahrain
Malta,1998,,Bahrain
Netherlands,1998,3,Bahrain
Oman,1998,,Bahrain
Sweden,1998,,Bahrain
Turkey,1998,,Bahrain
UAE,1998,,Bahrain
United Kingdom,1998,,Bahrain
United States,1998,4,Bahrain
Belgium,1999,,Bahrain
China,1999,,Bahrain
France,1999,,Bahrain
Germany (FRG),1999,,Bahrain
Malta,1999,,Bahrain
Netherlands,1999,,Bahrain
