,Exporting Country,Year,Exports in Millions,Importing Country
0,Belarus,1988,,iran
1,Brazil,1988,,iran
2,Canada,1988,,iran
3,China,1988,184.0,iran
4,East Germany (GDR),1988,,iran
5,France,1988,,iran
6,Netherlands,1988,15.0,iran
7,North Korea,1988,189.0,iran
8,Pakistan,1988,,iran
9,Poland,1988,,iran
10,Russia,1988,,iran
11,Soviet Union,1988,90.0,iran
12,Ukraine,1988,,iran
13,Belarus,1989,,iran
14,Brazil,1989,3.0,iran
15,Canada,1989,1.0,iran
16,China,1989,60.0,iran
17,East Germany (GDR),1989,8.0,iran
18,France,1989,,iran
19,Netherlands,1989,15.0,iran
20,North Korea,1989,14.0,iran
21,Pakistan,1989,1.0,iran
22,Poland,1989,,iran
23,Russia,1989,,iran
24,Soviet Union,1989,90.0,iran
25,Ukraine,1989,,iran
26,Belarus,1990,,iran
27,Brazil,1990,5.0,iran
28,Canada,1990,2.0,iran
29,China,1990,87.0,iran
30,East Germany (GDR),1990,,iran
31,France,1990,,iran
32,Netherlands,1990,15.0,iran
33,North Korea,1990,4.0,iran
34,Pakistan,1990,2.0,iran
35,Poland,1990,,iran
36,Russia,1990,,iran
37,Soviet Union,1990,339.0,iran
38,Ukraine,1990,,iran
39,Belarus,1991,,iran
40,Brazil,1991,33.0,iran
41,Canada,1991,12.0,iran
42,China,1991,96.0,iran
43,East Germany (GDR),1991,,iran
44,France,1991,,iran
45,Netherlands,1991,15.0,iran
46,North Korea,1991,92.0,iran
47,Pakistan,1991,3.0,iran
48,Poland,1991,,iran
49,Russia,1991,,iran
50,Soviet Union,1991,772.0,iran
51,Ukraine,1991,,iran
52,Belarus,1992,,iran
53,Brazil,1992,,iran
54,Canada,1992,,iran
55,China,1992,103.0,iran
56,East Germany (GDR),1992,,iran
57,France,1992,,iran
58,Netherlands,1992,,iran
59,North Korea,1992,109.0,iran
60,Pakistan,1992,,iran
61,Poland,1992,,iran
62,Russia,1992,220.0,iran
63,Soviet Union,1992,,iran
64,Ukraine,1992,,iran
65,Belarus,1993,,iran
66,Brazil,1993,,iran
67,Canada,1993,,iran
68,China,1993,304.0,iran
69,East Germany (GDR),1993,,iran
70,France,1993,,iran
71,Netherlands,1993,8.0,iran
72,North Korea,1993,115.0,iran
73,Pakistan,1993,,iran
74,Poland,1993,,iran
75,Russia,1993,559.0,iran
76,Soviet Union,1993,,iran
77,Ukraine,1993,2.0,iran
78,Belarus,1994,,iran
79,Brazil,1994,,iran
80,Canada,1994,,iran
81,China,1994,274.0,iran
82,East Germany (GDR),1994,,iran
83,France,1994,,iran
84,Netherlands,1994,8.0,iran
85,North Korea,1994,6.0,iran
86,Pakistan,1994,,iran
87,Poland,1994,83.0,iran
88,Russia,1994,83.0,iran
89,Soviet Union,1994,,iran
90,Ukraine,1994,,iran
91,Belarus,1995,,iran
92,Brazil,1995,,iran
93,Canada,1995,,iran
94,China,1995,58.0,iran
95,East Germany (GDR),1995,,iran
96,France,1995,,iran
97,Netherlands,1995,15.0,iran
98,North Korea,1995,6.0,iran
99,Pakistan,1995,,iran
100,Poland,1995,171.0,iran
101,Russia,1995,47.0,iran
102,Soviet Union,1995,,iran
103,Ukraine,1995,,iran
104,Belarus,1996,,iran
105,Brazil,1996,,iran
106,Canada,1996,,iran
107,China,1996,320.0,iran
108,East Germany (GDR),1996,,iran
109,France,1996,1.0,iran
110,Netherlands,1996,,iran
111,North Korea,1996,4.0,iran
112,Pakistan,1996,,iran
113,Poland,1996,,iran
114,Russia,1996,289.0,iran
115,Soviet Union,1996,,iran
116,Ukraine,1996,,iran
117,Belarus,1997,,iran
118,Brazil,1997,,iran
119,Canada,1997,,iran
120,China,1997,54.0,iran
121,East Germany (GDR),1997,,iran
122,France,1997,,iran
123,Netherlands,1997,,iran
124,North Korea,1997,4.0,iran
125,Pakistan,1997,,iran
126,Poland,1997,,iran
127,Russia,1997,119.0,iran
128,Soviet Union,1997,,iran
129,Ukraine,1997,,iran
130,Belarus,1998,,iran
131,Brazil,1998,,iran
132,Canada,1998,,iran
133,China,1998,70.0,iran
