Country,Year,Expenditure_per_cap,GDP per capita,Share of GDP,Percent of Gov Spending
Bahrain,1988,445.9,7958.7,0.055999999999999994,
Egypt,1988,83.1,642.5,0.051,
Iran,1988,356.2,2318.5,0.063,
Iraq,1988,,3753.5,,
Israel,1988,1747.7,11273.9,0.171,
Jordan,1988,190.4,1929.9,0.094,0.2047
Kuwait,1988,850.9,10148.9,0.08199999999999999,
Lebanon,1988,14.7,1241.7,0.012,
Oman,1988,912.3,4997.4,0.183,
Qatar,1988,2207.0,13605.8,0.163,
Saudi Arabia,1988,876.3,5823.5,0.152,
Syria,1988,317.4,902.5,0.079,
Turkey,1988,51.1,1745.4,0.028999999999999998,
United Arab Emirates,1988,,21907.6,,
Yemen,1988,,,,
Bahrain,1989,453.3,8030.9,0.055999999999999994,
Egypt,1989,63.9,707.9,0.04,
Iran,1989,297.8,2199.8,0.046,
Iraq,1989,,3852.1,,
Israel,1989,1383.3,11040.6,0.136,
Jordan,1989,119.3,1243.3,0.091,0.2087
Kuwait,1989,1010.7,11594.1,0.085,
Lebanon,1989,,1015.5,,
Oman,1989,896.7,5382.7,0.16699999999999998,
Qatar,1989,1832.3,14047.1,0.131,
Saudi Arabia,1989,806.4,6051.3,0.134,
Syria,1989,122.7,815.6,0.08,
Turkey,1989,63.6,2021.9,0.031,
United Arab Emirates,1989,,23612.7,,
Yemen,1989,,,,
Bahrain,1990,482.6,8529.0,0.053,0.1429
Egypt,1990,40.1,751.2,0.036000000000000004,
Iran,1990,293.3,2219.8,0.032,0.1448
Iraq,1990,,10297.4,,
Israel,1990,1607.9,12658.2,0.13699999999999998,
Jordan,1990,96.0,1168.3,0.078,0.1748
Kuwait,1990,4352.7,8776.7,0.485,0.5256
Lebanon,1990,79.3,1050.1,0.076,0.1914
Oman,1990,1065.3,6448.1,0.165,0.3948
Qatar,1990,1659.7,15448.7,0.107,0.2525
Saudi Arabia,1990,999.6,7204.7,0.14,0.3544
Syria,1990,131.9,988.9,0.069,0.243
Turkey,1990,98.4,2794.4,0.035,
United Arab Emirates,1990,,27256.3,,
Bahrain,1991,516.6,9055.6,0.057,0.1698
Egypt,1991,23.3,629.3,0.038,
Iran,1991,306.3,,0.024,0.1249
Iraq,1991,,,,
Israel,1991,2254.2,13645.2,0.175,
Jordan,1991,122.4,1157.4,0.1,0.2267
Kuwait,1991,6439.3,5408.0,1.173,0.5748
Lebanon,1991,83.4,1617.3,0.052000000000000005,0.1468
