,Country,Year,Percent of Gov Spending,Percent of GDP,Total USD
0,Bahrain,1988,,0.056029999999999996,299.0
1,Egypt,1988,,0.050608999999999994,4700.0
2,Iran,1988,,0.062698,5747.0
3,Iraq,1988,,,
4,Israel,1988,,0.170856,14255.0
5,Jordan,1988,0.204651,0.093636,1124.0
6,Kuwait,1988,,0.082366,3801.0
7,Lebanon,1988,,0.011866,259.0
8,Oman,1988,,0.18266400000000002,2628.0
9,Qatar,1988,,0.162724,2527.0
10,Saudi Arabia,1988,,0.15151900000000001,23343.0
11,Syria,1988,,0.078539,
12,Turkey,1988,,0.029322000000000004,7938.0
13,United Arab Emirates,1988,,,
14,Yemen,1988,,,
15,Russia,1988,,,
16,China,1988,,,
17,United States,1988,,0.057464,587426.0
18,Bahrain,1989,,0.056447000000000004,310.0
19,Egypt,1989,,0.039681,3789.0
20,Iran,1989,,0.04558,4251.0
21,Iraq,1989,,,
22,Israel,1989,,0.135957,11488.0
23,Jordan,1989,0.208729,0.09070800000000001,894.0
24,Kuwait,1989,,0.085398,4719.0
25,Lebanon,1989,,,
26,Oman,1989,,0.166667,2638.0
27,Qatar,1989,,0.130776,2112.0
28,Saudi Arabia,1989,,0.133903,22058.0
29,Syria,1989,,0.079725,
30,Turkey,1989,,0.031487,9185.0
31,United Arab Emirates,1989,,,
32,Yemen,1989,,,
33,Russia,1989,,,
34,China,1989,0.134,0.024802,20226.0
35,United States,1989,,0.055469000000000004,581392.0
36,Bahrain,1990,0.14285699999999998,0.052848,337.0
37,Egypt,1990,,0.036462,3731.0
38,Iran,1990,0.144785,0.031777,3774.0
39,Iraq,1990,,,
40,Israel,1990,,0.136985,12306.0
41,Jordan,1990,0.174837,0.077511,749.0
42,Kuwait,1990,0.52562,0.48517299999999997,18207.0
43,Lebanon,1990,0.191443,0.07552,825.0
44,Oman,1990,0.39484,0.165213,2964.0
45,Qatar,1990,0.25252199999999997,0.107439,1911.0
46,Saudi Arabia,1990,0.35443600000000003,0.140243,27720.0
47,Syria,1990,0.242995,0.06868099999999999,
48,Turkey,1990,,0.035276999999999996,11098.0
49,United Arab Emirates,1990,,,
50,Yemen,1990,0.24595300000000003,0.061614,2404.0
51,Russia,1990,,,
52,China,1990,0.14,0.024933,22041.0
53,United States,1990,,0.052783000000000004,555399.0
54,Bahrain,1991,0.169811,0.057038,368.0
55,Egypt,1991,,0.037538,3755.0
56,Iran,1991,0.124876,0.023811000000000002,3403.0
57,Iraq,1991,,,
58,Israel,1991,,0.174653,16906.0
59,Jordan,1991,0.22674899999999998,0.099731,954.0
60,Kuwait,1991,0.574781,1.173498,23728.0
61,Lebanon,1991,0.146808,0.051549,786.0
62,Oman,1991,0.343643,0.147519,2456.0
63,Qatar,1991,0.279046,0.130113,2073.0
64,Saudi Arabia,1991,0.35443600000000003,0.124698,26435.0
65,Syria,1991,0.304268,0.10425799999999999,
66,Turkey,1991,,0.037544,11409.0
67,United Arab Emirates,1991,,,
68,Yemen,1991,0.283364,0.065732,2252.0
69,Russia,1991,,,
70,China,1991,0.145,0.023469,23415.0
71,United States,1991,,0.045722000000000006,487798.0
72,Bahrain,1992,0.167464,0.05878099999999999,391.0
73,Egypt,1992,,0.03381,3680.0
74,Iran,1992,0.098969,0.019471000000000002,2953.0
75,Iraq,1992,,,
76,Israel,1992,,0.122527,12774.0
77,Jordan,1992,0.19425,0.069242,777.0
78,Kuwait,1992,0.349962,0.31786,12027.0
79,Lebanon,1992,0.224036,0.07984,1400.0
80,Oman,1992,0.353064,0.162455,2941.0
81,Qatar,1992,,,
82,Saudi Arabia,1992,0.27255100000000004,0.11284200000000001,24846.0
83,Syria,1992,0.26318,0.089907,
84,Turkey,1992,,0.038706,12000.0
85,United Arab Emirates,1992,,,
86,Yemen,1992,0.295454,0.06808600000000001,2212.0
87,Russia,1992,,0.049024,41938.0
88,China,1992,0.171,0.024848,28446.0
89,United States,1992,,0.046662999999999996,515431.0
90,Bahrain,1993,0.167732,0.053699000000000004,382.0
91,Egypt,1993,,0.032527,3572.0
92,Iran,1993,0.051395,0.018357,3458.0
93,Iraq,1993,,,
94,Israel,1993,,0.129952,14125.0
95,Jordan,1993,0.191655,0.069771,816.0
96,Kuwait,1993,0.202681,0.124402,5819.0
97,Lebanon,1993,0.26448499999999997,0.060113,1167.0
98,Oman,1993,0.334633,0.153676,2760.0
99,Qatar,1993,,,
100,Saudi Arabia,1993,0.328341,0.124654,26332.0
101,Syria,1993,0.246139,0.072381,
102,Turkey,1993,,0.039214,13267.0
103,United Arab Emirates,1993,,,
104,Yemen,1993,0.27419099999999996,0.065993,1914.0
105,Russia,1993,,0.046314999999999995,36661.0
106,China,1993,0.151,0.019619,26240.0
107,United States,1993,,0.043269,488342.0
108,Bahrain,1994,0.16286099999999998,0.051113,386.0
109,Egypt,1994,,0.033163,3746.0
110,Iran,1994,0.075989,0.022819,4268.0
111,Iraq,1994,,,
112,Israel,1994,,0.112951,13272.0
113,Jordan,1994,0.189495,0.06539500000000001,829.0
114,Kuwait,1994,0.226557,0.13259200000000002,6174.0
115,Lebanon,1994,0.149904,0.069977,1464.0
116,Oman,1994,0.344366,0.156886,2933.0
117,Qatar,1994,,,
118,Saudi Arabia,1994,0.313013,0.106448,22728.0
119,Syria,1994,0.24335900000000002,0.073641,
120,Turkey,1994,,0.040514,12971.0
121,United Arab Emirates,1994,,,
122,Yemen,1994,0.333522,0.078502,1964.0
123,Russia,1994,,0.048986,34657.0
124,China,1994,0.144,0.01725,25274.0
125,United States,1994,,0.039413,460617.0
126,Bahrain,1995,0.170915,0.051832,400.0
127,Egypt,1995,,0.032407,3687.0
128,Iran,1995,0.084985,0.023525,4187.0
129,Iraq,1995,,,
130,Israel,1995,,0.088318,12314.0
131,Jordan,1995,0.123675,0.044542,597.0
132,Kuwait,1995,0.248815,0.13581600000000002,6771.0
133,Lebanon,1995,0.21872399999999997,0.067118,1500.0
134,Oman,1995,0.33352,0.146235,2954.0
135,Qatar,1995,,,
136,Saudi Arabia,1995,0.284489,0.092785,20035.0
137,Syria,1995,0.23354699999999998,0.069497,
138,Turkey,1995,,0.039016,13326.0
139,United Arab Emirates,1995,,,
140,Yemen,1995,0.263212,0.059655999999999994,1475.0
141,Russia,1995,,0.040665,22803.0
