,Exporting Country,Year,Exports in Millions,Importing Country
0,Belarus,1988,,syria
1,Bulgaria,1988,,syria
2,China,1988,,syria
3,Czechoslovakia,1988,,syria
4,Iran,1988,,syria
5,North Korea,1988,,syria
6,Pakistan,1988,,syria
7,Russia,1988,,syria
8,Slovakia,1988,,syria
9,Soviet Union,1988,1312.0,syria
10,Belarus,1989,,syria
11,Bulgaria,1989,,syria
12,China,1989,,syria
13,Czechoslovakia,1989,,syria
14,Iran,1989,,syria
15,North Korea,1989,,syria
16,Pakistan,1989,,syria
17,Russia,1989,,syria
18,Slovakia,1989,,syria
19,Soviet Union,1989,663.0,syria
20,Belarus,1990,,syria
21,Bulgaria,1990,,syria
22,China,1990,,syria
23,Czechoslovakia,1990,,syria
24,Iran,1990,,syria
25,North Korea,1990,,syria
26,Pakistan,1990,,syria
27,Russia,1990,,syria
28,Slovakia,1990,,syria
29,Soviet Union,1990,739.0,syria
30,Belarus,1991,,syria
31,Bulgaria,1991,,syria
32,China,1991,,syria
33,Czechoslovakia,1991,276.0,syria
34,Iran,1991,,syria
35,North Korea,1991,22.0,syria
36,Pakistan,1991,,syria
37,Russia,1991,,syria
38,Slovakia,1991,,syria
39,Soviet Union,1991,24.0,syria
40,Belarus,1992,,syria
41,Bulgaria,1992,11.0,syria
42,China,1992,,syria
43,Czechoslovakia,1992,198.0,syria
44,Iran,1992,,syria
45,North Korea,1992,22.0,syria
46,Pakistan,1992,,syria
47,Russia,1992,14.0,syria
48,Slovakia,1992,,syria
49,Soviet Union,1992,,syria
50,Belarus,1993,,syria
51,Bulgaria,1993,,syria
52,China,1993,,syria
53,Czechoslovakia,1993,,syria
54,Iran,1993,,syria
55,North Korea,1993,22.0,syria
56,Pakistan,1993,,syria
57,Russia,1993,10.0,syria
58,Slovakia,1993,142.0,syria
59,Soviet Union,1993,,syria
60,Belarus,1994,,syria
61,Bulgaria,1994,,syria
62,China,1994,,syria
63,Czechoslovakia,1994,,syria
64,Iran,1994,,syria
65,North Korea,1994,18.0,syria
66,Pakistan,1994,1.0,syria
67,Russia,1994,,syria
68,Slovakia,1994,,syria
69,Soviet Union,1994,,syria
70,Belarus,1995,,syria
71,Bulgaria,1995,,syria
72,China,1995,,syria
73,Czechoslovakia,1995,,syria
74,Iran,1995,,syria
75,North Korea,1995,35.0,syria
76,Pakistan,1995,,syria
77,Russia,1995,,syria
78,Slovakia,1995,,syria
79,Soviet Union,1995,,syria
80,Belarus,1996,,syria
81,Bulgaria,1996,,syria
82,China,1996,,syria
83,Czechoslovakia,1996,,syria
84,Iran,1996,,syria
85,North Korea,1996,35.0,syria
86,Pakistan,1996,,syria
87,Russia,1996,,syria
88,Slovakia,1996,,syria
89,Soviet Union,1996,,syria
90,Belarus,1997,,syria
91,Bulgaria,1997,,syria
92,China,1997,,syria
93,Czechoslovakia,1997,,syria
94,Iran,1997,,syria
95,North Korea,1997,35.0,syria
96,Pakistan,1997,,syria
97,Russia,1997,,syria
98,Slovakia,1997,,syria
99,Soviet Union,1997,,syria
100,Belarus,1998,,syria
101,Bulgaria,1998,,syria
102,China,1998,,syria
103,Czechoslovakia,1998,,syria
104,Iran,1998,,syria
105,North Korea,1998,35.0,syria
106,Pakistan,1998,,syria
107,Russia,1998,20.0,syria
108,Slovakia,1998,,syria
109,Soviet Union,1998,,syria
110,Belarus,1999,,syria
111,Bulgaria,1999,,syria
112,China,1999,,syria
113,Czechoslovakia,1999,,syria
114,Iran,1999,,syria
115,North Korea,1999,35.0,syria
116,Pakistan,1999,,syria
117,Russia,1999,23.0,syria
118,Slovakia,1999,,syria
119,Soviet Union,1999,,syria
120,Belarus,2000,,syria
121,Bulgaria,2000,,syria
122,China,2000,,syria
123,Czechoslovakia,2000,,syria
124,Iran,2000,,syria
125,North Korea,2000,55.0,syria
